filled_paraphrased_canonical	masked_sparql_query
 Какая максимальная длина границ у страны, к которой ближе всего расположен Кургазак?	select sum ( ?x0 ) where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:border_length ?x0 . }
Сколько территория места где гражданином которого является Шенгелия Торнике? 	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:area ?x0 . }
Длина границ Великобритания в километрах?	select distinct ?x0 where { SUBJ_1 dr:border_length ?x0 . }
Сколько существует государство входящие в Айгунский договор? 	select ?x0 where { SUBJ_1 dr:parts_alliance ?dummy . ?dummy dr:period_country ?x0 . }
Много ли составляет плотность населения места, где расположена гора Бутырская тюрьма? 	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:population_density ?x0 . }
В месте расположения Сен Жерменский дворец сумма плотности населения?	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:population_density ?x0 . }
Какой общий обьем людей, родившихся в Орехово Борисово Южное?	select count ( distinct ?x0 ) where { ?x0 dr:birth_place OBJ_1 . }
Какая минимальная площадь страны, в которой развивался сюжет Имя розы?	select ?x0 where { SUBJ_1 dr:narrative_location ?dummy . ?dummy dr:area ?x0 . }
Какова минимальная валентность элемента, являющийся основным компонентом ортоклаз?	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:valence ?x0 . }
Какова площадь той страны, где был основан Валентин Стрыкало?	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:area ?x0 . }
Насколько глубок объект, водами которого омывается Приднестровская Молдавская Республика?	select ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:depth ?x0 . }
Кто находится в политической партии патология 	select distinct ?x0 where { ?x0 dr:political_party OBJ_1 . }
Когда был создан Грудзендз? 	select distinct ?x0 where { SUBJ_1 dr:person_foundation ?x0 . }
Какова глубина водоемов, омывающих Казахстан?	select ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:depth ?x0 . }
Сколько работ у человека, основавшего компанию Мастер?	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:count_works ?x0 . }
Katsuni и инструменты, на которых она умеет играть 	select count ( distinct ?x0 ) where { SUBJ_1 wdt:p1303 ?x0 . }
Какова плотность населения в США?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:population_density ?x0 . }
Страна в которой была создана компания Aviasales ru, сколько ей лет?	select ?x0 where { SUBJ_1 dr:company_inception_place ?dummy . ?dummy dr:period_country ?x0 . }
Какой лозунг у компании Интер РАО 	select distinct ?x0 where { SUBJ_1 dr:company_motto ?x0 . }
Как давно отец Цахиагийн Элбэгдорж начал творческую карьеру?	select ?x0 where { SUBJ_1 dr:father ?dummy . ?dummy dr:work_period_start ?x0 . }
Какова средняя площади города, в котором в данный момент живёт Кутепов Семен Федорович?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:area ?x0 . }
Каково общее число директоров в компании скейтбординг?	select count ( distinct ?x0 ) where { SUBJ_1 dr:company_director ?x0 . }
Сколько по минимуму длина места, где находится Спорное	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:length ?x0 . }
Какое наименование у места, ближе всего к которому расположен Усть Качка?	select ?x0 where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:name ?x0 . }
У скольких компаний центральный офис базируется в Владимирская церковь?	select count ( distinct ?x0 ) where { ?x0 dr:company_hq_location OBJ_1 . }
Аккредитив компании PricewaterhouseCoopers 	select distinct ?x0 where { SUBJ_1 dr:company_motto ?x0 . }
Дата открытия места, на территории которого находится Здание городской думы? 	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:discovered_at ?x0 . }
дата основания страны, которая является родиной Мак Дугалл Уильям	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:date_country_foundation ?x0 . }
У Изабелла Невилл сколько родственников всего?	select count ( distinct ?x0 ) where { ?x0 dr:relative OBJ_1 . }
Где училась Николай Александрович Наумов? 	select distinct ?x0 where { SUBJ_1 dr:education ?x0 . }
Дата в которую была придумана книга Волкодав?	select distinct ?x0 where { SUBJ_1 dr:inception ?x0 . }
Какая ширина у Московский государственный музей С А Есенина?	select distinct ?x0 where { SUBJ_1 dr:width ?x0 . }
Где Дерек Джейкоби получала вдохновение?	select distinct ?x0 where { SUBJ_1 dr:influenced_by ?x0 . }
В каком году и какого числа родился человек, основавший Амальфитанское побережье?	select ?x0 where { SUBJ_1 dr:person_foundation ?dummy . ?dummy dr:birth_day ?x0 . }
Столица Галерея Дориа Памфили достигает плотности в?	select ?x0 where { SUBJ_1 dr:iscapitalof ?dummy . ?dummy dr:population_density ?x0 . }
Какова валентность химического элемента, названного в честь Курск, самая большая?	select ?x0 where { SUBJ_1 dr:element_by_named_after ?dummy . ?dummy dr:valence ?x0 . }
Границы с какими государствами имеет страна, в которой развивается сюжет книги Как завоевывать друзей и оказывать влияние на людей?	select ?x0 where { SUBJ_1 dr:narrative_location ?dummy . ?dummy dr:borders_country ?x0 . }
сколько существует государство, которое входит в де факто, по времени	select ?x0 where { SUBJ_1 dr:parts_alliance ?dummy . ?dummy dr:period_country ?x0 . }
Сколько всего жанров в фильме Киселева Александра Александровна?	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy dr:hasgeneralfilmgenre ?x0 . }
Какова территория страны, в которой живет Александр Михайлович Поносов?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:area ?x0 . }
 Какое суммарное количество стран граничит со страной Белоруссия? 	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:date_country_foundation ?x0 . }
Какая популяция жителей в стране, где находится река Фест?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:population_count ?x0 . }
Когда начал свою творческую деятельность Посохин Михаил Михайлович?	select distinct ?x0 where { SUBJ_1 dr:work_period_start ?x0 . }
Как зовут создателя произведения, где присутствует персонаж Дон Жуан?	select ?x0 where { SUBJ_1 dr:author ?dummy . ?dummy dr:name ?x0 . }
Сколькими людьми была основана компания Royal Dutch Shell	select count ( distinct ?x0 ) where { SUBJ_1 dr:company_founder ?x0 . }
Каков показатель общей протяженности границ государства, граничащего со СССР?	select distinct ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:border_length ?x0 . } order by desc ( ?x0 )
Что за имена у родственников Робер Брессон?	select distinct ?x0 where { SUBJ_1 dr:relative ?x0 . }
Какой продукт выпускает Ramones?	select distinct ?x0 where { SUBJ_1 dr:company_products ?x0 . }
Каково число рабочих мест в стране, гражданство которой у Чха Бом Гын?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:count_works ?x0 . }
Какова дата кончины матери Даниил Львович Сагал?	select ?x0 where { SUBJ_1 dr:mother ?dummy . ?dummy dr:death_date ?x0 . }
Сколько вширь водоем, омывающий берега Швейцария?	select distinct ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:width ?x0 . } order by desc ( ?x0 )
Максимальная длина места, в котором расположен Неандерталь, какая? 	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:length ?x0 . }
Как много людей проживает в месте расположения Музей Mercedes Benz относительно площади?	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:population_density ?x0 . }
Как высоко над уровнем моря  город, в котором расположен центральный офис компании Chevron?	select ?x0 where { SUBJ_1 dr:company_hq_location ?dummy . ?dummy dr:elevation ?x0 . }
Какой код на сайте КиноПоиск имеет супруга Дэвид Йонги Чо?	select ?x0 where { SUBJ_1 wdt:p26 ?dummy . ?dummy wdt:p2604 ?x0 . }
численность детей у человека вдохновившего Пушкина Татьяна Вячеславовна	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:child_count ?x0 . }
значение валентности Висмутид динеодима какое 	select distinct ?x0 where { SUBJ_1 dr:valence ?x0 . }
Каков минимальный показатель плотности населения в родном городе Джоанна Ньюсом?	select ?x0 where { SUBJ_1 dr:native_city ?dummy . ?dummy dr:population_density ?x0 . }
Как называется элемент, получивший свое название в честь Линия МЦД 3?	select distinct ?x0 where { SUBJ_1 dr:element_by_named_after ?x0 . }
Какой минимум длины границ страны, в юрисдикции которой находится Горячие КлючиDUMMY?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:border_length ?x0 . }
Когда по времени  была открыта страна, в которой расположен Риштан?	select ?x0 where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:discovered_at ?x0 . }
Какой код на КиноПоиске у человека, который спродюсировал фильм Одиннадцать друзей Оушена?	select ?x0 where { SUBJ_1 wdt:p162 ?dummy . ?dummy wdt:p2604 ?x0 . }
суммарный рост всех  родственников Михаил Николаевич Антонов?	select distinct ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:height ?x0 . } order by desc ( ?x0 )
Сколько рабочих мест где сейчас проживает Николай Николаевич Еременко старший	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:count_works ?x0 . }
Какой временной промежуток существования государства, в котором находится центральный офис компании American Express?	select ?x0 where { SUBJ_1 dr:company_hq_location ?dummy . ?dummy dr:period_country ?x0 . }
Сколько стран находится рядом с страной, в которой был создан рассказ «Человек невидимка»?	select ?x0 where { SUBJ_1 dr:place_of_origin ?dummy . ?dummy dr:numberneighboringcountries ?x0 . }
Какой логотип у компании Virgin Group?	select distinct ?x0 where { SUBJ_1 dr:company_logo ?x0 . }
Дата кончины первого правителя Кабо Верде?	select ?x0 where { SUBJ_1 dr:first_ruler ?dummy . ?dummy dr:death_date ?x0 . }
Число водоемов омывающих берега набатеи?	select ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:area ?x0 . }
Сколько было Оливия Тейлор Дадли когда она вышла на сцену	select distinct ?x0 where { SUBJ_1 dr:work_period_start ?x0 . }
Сколько средняя длина границ страны, в которой географически расположена Вадсе аэропорт?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:border_length ?x0 . }
в Гаруда Вишну Кенчана статуя  сколько всего родилось человек 	select count ( distinct ?x0 ) where { ?x0 dr:birth_place OBJ_1 . }
В юрисдикции скольких государств  находится Колчестер? 	select count ( distinct ?x0 ) where { SUBJ_1 dr:political_own ?x0 . }
валентность у диэтилтриптамин какая	select distinct ?x0 where { SUBJ_1 dr:valence ?x0 . }
Из скольки глав состоит книга 451 градус по Фаренгейту?	select distinct ?x0 where { SUBJ_1 dr:number_of_parts ?x0 . }
В каком альянсе участвует Серебрянка? 	select distinct ?x0 where { ?x0 dr:parts_alliance OBJ_1 . }
В какое море впадает Бенони,площадь моря	select ?x0 where { SUBJ_1 dr:river_confluence ?dummy . ?dummy dr:area ?x0 . }
Сколько поклонников у Джо Дассен?	select count ( distinct ?x0 ) where { ?x0 dr:influenced_by OBJ_1 . }
Какая ширина у водоёма, омывающего берега СССР?	select distinct ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:width ?x0 . } order by desc ( ?x0 )
С государством Нидерланды сколько всего граничит стран? 	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:date_country_foundation ?x0 . }
Есть шоу похожее на Лига чемпионов УЕФА 2015 2016, не знаешь сколько сезонов?	select ?x0 where { SUBJ_1 dr:issimilarto ?dummy . ?dummy wdt:p2437 ?x0 . }
Какие страны граничат с государством Российская империя	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:date_country_foundation ?x0 . }
как в среднем критики оценили фильмы, в котором режиссером и актером одновременно был Пападакис Габриэла?	select distinct ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p444 ?x0 . } order by desc ( ?x0 )
Для скольких людей Гринуич стал родиной?	select count ( distinct ?x0 ) where { ?x0 dr:native_city OBJ_1 . }
Кто сценарист фильма Брестская крепость?	select distinct ?x0 where { SUBJ_1 wdt:p58 ?x0 . }
Компания Содружество Независимых Государств кем была основана	select distinct ?x0 where { SUBJ_1 dr:company_parent ?x0 . }
В какой работе принимал непосредственное участие Сиагрий?	select distinct ?x0 where { SUBJ_1 dr:present_in_literary_work ?x0 . }
Какое количество населения живёт в стране, где протекает река Ливерпуль?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:population_count ?x0 . }
Какова минимальная протяженность у страны, в юрисдикции которой находится Период ЧуньцюDUMMY?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:border_length ?x0 . }
С кем Турция граничит? 	select distinct ?x0 where { ?x0 dr:borders_country OBJ_1 . }
Назовите максимальную площадь города, в котором в данный момент живёт Татьяна Васильевна Иваненко?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:area ?x0 . }
Дата рождения основателя Oriflame 	select ?x0 where { SUBJ_1 dr:company_boardmembers ?dummy . ?dummy dr:birth_day ?x0 . }
Когда произошёл распад страны, в которой расположена Донгузорун Чегет Карабаши?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:date_country_end ?x0 . }
Формула Нитрат плутония IV химическая, пример как выглядит 	select distinct ?x0 where { SUBJ_1 dr:chemical_formula ?x0 . }
Какой псевдоним у брата Шапиро Хелен?	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:pseudonym ?x0 . }
Какое количество мест, в которых правителем был Миронова Ирина Ильинична?	select count ( distinct ?x0 ) where { ?x0 dr:first_ruler OBJ_1 . }
Кличка у родственников Смирнова Ксения Вячеславовна?	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:nickname ?x0 . }
Какая сумма площади города, где расположен Паркен? 	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:area ?x0 . }
Кто убедил о создании синтоизм?	select distinct ?x0 where { ?x0 dr:reformer OBJ_1 . }
Когда скончался родственник Габриэль Бонно де Мабли	select ?x0 where { SUBJ_1 dr:relative ?dummy . ?dummy dr:death_date ?x0 . }
Какой суммарно является высота над уровнем моря у места, в котором в текущий момент живёт Константин Борисович Толкачев?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:elevation ?x0 . }
Каков будет общий размер водоемов вокруг Лазаревский институт восточных языков?	select distinct ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:length ?x0 . } order by desc ( ?x0 )
Как много раз был женат первый правитель Белоруссия	select ?x0 where { SUBJ_1 dr:first_ruler ?dummy . ?dummy dr:marriage_count ?x0 . }
Щелыково музей заповедник суммарно расположился на географически территории 	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:length ?x0 . }
Сколько всего владельцев у фирмы Baidu?	select count ( distinct ?x0 ) where { ?x0 dr:company_owner OBJ_1 . }
Каково имя той, кто родила Ольга Яковлева? 	select distinct ?x0 where { ?x0 dr:mother OBJ_1 . }
 Какая суммарная длина границ страны, в которой географически расположена Бадхызский заповедник?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:border_length ?x0 . }
Какова средняя площадь страны, в юрисдикции которой находится Тевлинско Русскинское нефтяное месторождение?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:area ?x0 . }
Как густо населена родная страна Пол Бернардо? 	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:population_density ?x0 . }
Открывший сульфат лития человек - его настоящее полное имя?	select ?x0 where { SUBJ_1 dr:discoverer ?dummy . ?dummy dr:real_full_name ?x0 . }
В каом году был распад страны Роберт Вестерхольт?	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:date_country_end ?x0 . }
Примерная высота Упернавик	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:elevation ?x0 . }
Какова суммарная высота над уровнем моря места, к которому ближе всего расположен Куштау?	select ?x0 where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:elevation ?x0 . }
Директором скольких компаний является Пьер Гассенди?	select count ( distinct ?x0 ) where { ?x0 dr:company_director OBJ_1 . }
Балтийское море какая площадь моря, в которое впадает река Мотыгинская ГЭС?	select ?x0 where { SUBJ_1 dr:river_confluence ?dummy . ?dummy dr:area ?x0 . }
Общее число стран, соседствующих с государством, ближе всего к которому расположено Таганрогская авиация, какое?	select ?x0 where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:numberneighboringcountries ?x0 . }
Какова общая площадь водоемов, омывающих берега Кортрейк?	select ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:area ?x0 . }
Количество всех имен у персонажа, с которым сейчас живет Вояк мем?	select count ( distinct ?x0 ) where { SUBJ_1 dr:residence ?dummy . ?dummy dr:name ?x0 . }
"""Где начал жизненный путь литератор придумавший """"Прощай немытая Россия"""""""	select ?x0 where { SUBJ_1 dr:hasauthor ?dummy . ?dummy dr:native_city ?x0 . }
количество браков у мужа Гьянендра	select ?x0 where { SUBJ_1 wdt:p26 ?dummy . ?dummy dr:marriage_count ?x0 . }
Какие имена у братьев и сестёр Трайланга? 	select distinct ?x0 where { SUBJ_1 dr:sibling ?x0 . }
Сколько всего людей, рожденных в Путилово?	select count ( distinct ?x0 ) where { ?x0 dr:birth_place OBJ_1 . }
У кого деятельность в сфере переводчик?	select distinct ?x0 where { ?x0 dr:company_industry OBJ_1 . }
Место, где географически расположена гора Минск 1, какова его плотность населения?	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:population_density ?x0 . }
В каком классе элементов алмаз легче всех остальных?	select distinct ?x0 where { ?x0 dr:lightest OBJ_1 . }
В каком году произошло основание государства, в котором Кочеток является столицей?	select ?x0 where { SUBJ_1 dr:iscapitalof ?dummy . ?dummy dr:date_country_foundation ?x0 . }
Кто снял фильма Молчание ягнят?	select distinct ?x0 where { SUBJ_1 wdt:p57 ?x0 . }
Сколько членов политической партии система контроля и управления доступом?	select count ( distinct ?x0 ) where { ?x0 dr:political_party OBJ_1 . }
Какие год, число и месяц рождения родительницы Иоанн II Комнин? 	select ?x0 where { SUBJ_1 dr:mother ?dummy . ?dummy dr:birth_day ?x0 . }
Велико ли количество социалистический реализм?	select count ( distinct ?x0 ) where { ?x0 dr:whois OBJ_1 . }
Какова средняя плотность проживающих в стране, в состав которой входит Кроноцкое озеро? 	select ?x0 where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:population_density ?x0 . }
Какой дизайн у логотипа компании Авиньонское пленение пап?	select distinct ?x0 where { SUBJ_1 dr:company_logo ?x0 . }
ссылка на химическую схему у Ацетилхолинэстераза	select distinct ?x0 where { SUBJ_1 dr:chemical_structure ?x0 . }
Каково количество работ, где упоминается место, в котором расположен Хаттерас?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:count_works_char ?x0 . }
Первооткрыватель индуизм сколько прожил лет?	select ?x0 where { SUBJ_1 dr:discoverer ?dummy . ?dummy dr:death_age ?x0 . }
Кто является родителями у Петр Владимирович Рябов?	select distinct ?x0 where { ?x0 dr:child OBJ_1 . }
Какого роста ребёнок Овайн Йомэн?	select ?x0 where { SUBJ_1 dr:child ?dummy . ?dummy dr:height ?x0 . }
Какова самая маленькая площадь города, в котором в данный момент живёт Халиков Радим Абдулхаликович?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:area ?x0 . }
минимальное время существования родной страны Эрик Кармен?	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:period_country ?x0 . }
Какая максимальная ширина места, где расположена Камень Шабаки?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:width ?x0 . }
ОВД Инфо, максимальное колличество сотрудников	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_employment ?x0 . }
Какая максимальная плотность населения в родной стране Мария Анжуйская?	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:population_density ?x0 . }
Сколко всего лет стране, где расположен Музей истории Воздушно десантных войск?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:period_country ?x0 . }
максимальное время существования родной страны Евгений Александрович Бушманов?	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:period_country ?x0 . }
какой размер валентности элемента, являющегося основным компонентом Цирконат свинца II?	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:valence ?x0 . }
Год и дата когда родился основатель компании Cradle of Filth?	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:birth_day ?x0 . }
Сколько в среднем существует страна, горожанином которой является Александр Александрович Чалый?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:period_country ?x0 . }
Интересно, сколько всего Ногайцы?	select count ( distinct ?x0 ) where { ?x0 dr:whois OBJ_1 . }
Сколько лет стране в которой расположена Сиам?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:period_country ?x0 . }
кто написал Робин Гуд	select distinct ?x0 where { SUBJ_1 dr:creator ?x0 . }
Какое количество фильмов актер Левин Рейчел сыграл одновременно актером и был их режиссёром? 	select count ( distinct ?x0 ) where { SUBJ_1 dr:isdirectorandactorinfilm ?x0 . }
Население США на квадратный метр 	select distinct ?x0 where { SUBJ_1 dr:population_density ?x0 . }
Настоящее полное имя у отца Деревянченко Сергей Вячеславович, как произнести?	select ?x0 where { SUBJ_1 dr:father ?dummy . ?dummy dr:real_full_name ?x0 . }
В каком году была открыта река, омывающая Балтика стадион Калининград?	select ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:discovered_at ?x0 . }
Можете назвать мне дату смерти автора, создавшего персонаж Лето Атрейдес?	select ?x0 where { SUBJ_1 dr:creator ?dummy . ?dummy dr:death_date ?x0 . }
Сколько по протяженности река, в которую впадает Дворец Михаила Михайловича? 	select ?x0 where { SUBJ_1 dr:river_confluence ?dummy . ?dummy dr:length ?x0 . }
Сколько работ у человека, основавшего компанию Dropbox?	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:count_works ?x0 . }
Что за братья и сестры есть у Синан?	select distinct ?x0 where { SUBJ_1 dr:sibling ?x0 . }
Страна, в юрисдикции которой находится Сальвадор, сколько всего в сумме лет существует?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:period_country ?x0 . }
Правда, что высота над уровнем моря у Полтава равна 2 290 м?	select distinct ?x0 where { SUBJ_1 dr:elevation ?x0 . }
Основной компонент Дисамарийзолото	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:lightest ?x0 . }
Какова численность населения в месте, где родился Андрей Анатольевич Козицын? 	select ?x0 where { SUBJ_1 dr:birth_place ?dummy . ?dummy dr:population_count ?x0 . }
Кому является дочерью Кристен Джонстон?	select distinct ?x0 where { ?x0 dr:mother OBJ_1 . }
Сколько Владельцев фирмы Atlantic Records Russia вмего?	select count ( distinct ?x0 ) where { ?x0 dr:company_owner OBJ_1 . }
Как называется столица государства, в котором расположена Обводный канал?	select distinct ?x0 where { ?x0 dr:iscapitalof OBJ_1 . }
количество владельцев в компании BASF SE?	select count ( distinct ?x0 ) where { ?x0 dr:company_owner OBJ_1 . }
Какова сумма имен элемента, который назвали в честь Лепляво?	select ?x0 where { SUBJ_1 dr:element_by_named_after ?dummy . ?dummy dr:alias ?x0 . }
Население Санкт Петербург Опера	select distinct ?x0 where { ?x0 dr:residence OBJ_1 . }
Какой хронометраж у фильма , режиссёром и актёром в котором был Ершова Зинаида Васильевна?	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p2047 ?x0 . }
Сколько государств соседствует со страной, являющейся Родиной Эндрю Адамсон?	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:numberneighboringcountries ?x0 . }
Когда и в какую дату был придуман Капитул Дюны?	select distinct ?x0 where { SUBJ_1 dr:inception ?x0 . }
Какими языками владеет Силкин Сергей Николаевич?	select distinct ?x0 where { SUBJ_1 dr:languages ?x0 . }
Какова сумма имен элемента, который назвали в честь Улица Карла Маркса Иркутск?	select ?x0 where { SUBJ_1 dr:element_by_named_after ?dummy . ?dummy dr:alias ?x0 . }
В каком году начал творческую деятельность родственник Кобзев Игорь Иванович политик? 	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:work_period_start ?x0 . }
Чем занимался в основном, человек, который стал вдохновителем для Ллейтон Хьюитт? 	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:main_field_of_work ?x0 . }
Какая общая площадь страны, на территории которой находится Кульдур?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:area ?x0 . }
Сколько человек проживает в городе, где разворачиваются события произведения Закон Паркинсона? 	select ?x0 where { SUBJ_1 dr:narrative_location ?dummy . ?dummy dr:population_count ?x0 . }
Сколько было Энвер Измайлов когда она вышла на сцену	select distinct ?x0 where { SUBJ_1 dr:work_period_start ?x0 . }
Бьорк кому отец?	select distinct ?x0 where { ?x0 dr:father OBJ_1 . }
В скольких компаниях директором является Джочи Хасар? 	select count ( distinct ?x0 ) where { ?x0 dr:company_director OBJ_1 . }
Кто сценарист фильма Формула любви?	select distinct ?x0 where { SUBJ_1 wdt:p58 ?x0 . }
Август Сильный занимается сколькимм видами деятельности?	select count ( distinct ?x0 ) where { SUBJ_1 dr:field_of_work ?x0 . }
Чему равна общая валентность химического элемента, названного в честь Армази?	select ?x0 where { SUBJ_1 dr:element_by_named_after ?dummy . ?dummy dr:valence ?x0 . }
Какой символ у дофамин? 	select distinct ?x0 where { SUBJ_1 dr:atomic_number ?x0 . }
Какое количество видов деятельности выполняет компания Zara	select count ( distinct ?x0 ) where { SUBJ_1 dr:company_industry ?x0 . }
В каком году родился основатель компании Five Finger Death Punch	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:birth_day ?x0 . }
Ближе к Усть Джегута расположена какая страна с общей протяженностью границ 	select sum ( ?x0 ) where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:border_length ?x0 . }
Страна в которой находится Буча река, масштаб ?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:area ?x0 . }
Книга Левит ,фильм ,был выпущен когда?	select distinct ?x0 where { SUBJ_1 dr:publication_date ?x0 . }
настоящее полное имя первого правителя Нидерланды	select ?x0 where { SUBJ_1 dr:first_ruler ?dummy . ?dummy dr:real_full_name ?x0 . }
управление  Магнит	select distinct ?x0 where { ?x0 dr:company_owner OBJ_1 . }
Когда появилась страна, где написали Приключения капитана Врунгеля?	select ?x0 where { SUBJ_1 dr:place_of_origin ?dummy . ?dummy dr:date_country_foundation ?x0 . }
Максимум какое работников Onliner by?	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_employment ?x0 . }
Сколько квадратных метров занимает страна, в чьей юрисдикции находится Приморская Шаранта?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:area ?x0 . }
Какие государства находятся по берегам Котовск	select count ( distinct ?x0 ) where { SUBJ_1 dr:political_own ?x0 . }
Суд Эребуни	select distinct ?x0 where { SUBJ_1 dr:political_own ?x0 . }
Как выглядит формула Фтивазид?	select distinct ?x0 where { SUBJ_1 dr:chemical_formula ?x0 . }
Какое название имела компания, созданная в Великобритания?	select distinct ?x0 where { ?x0 dr:company_inception_place OBJ_1 . }
Какое количество основателей компании Банки ру	select count ( distinct ?x0 ) where { ?x0 dr:company_parent OBJ_1 . }
Настоящее полное имя у человека, основавшего компанию Jane Air, какое?	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:real_full_name ?x0 . }
Какой средней высотой над уровнем моря обладает текущее место проживания  Шифрин Лало?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:elevation ?x0 . }
